partida_id,casa,fora,gols_casa,gols_fora
1,mexico,africa-do-sul,2,0
2,coreia-do-sul,tchequia,2,1
3,canada,bosnia,1,1
4,eua,paraguai,4,1
5,catar,suica,1,1
6,brasil,marrocos,1,1
7,haiti,escocia,0,1
8,australia,turquia,2,0
9,alemanha,curacao,7,1
10,holanda,japao,2,2
11,costa-do-marfim,equador,1,0
12,suecia,tunisia,5,1
13,espanha,cabo-verde,0,0
14,belgica,egito,1,1
15,arabia-saudita,uruguai,1,1
16,ira,nova-zelandia,2,2
17,franca,senegal,3,1
18,iraque,noruega,1,4
19,argentina,argelia,3,0
20,austria,jordania,3,1
